"date","code","name","buy_price","qty","buy_amount","latest_day_pct","amount","turnover_pct","volume_ratio","open_pct","trend_stage","start_score","history_score","market_score","stage_bias","factor_score","history_ret60","history_ytd","history_amp","history_turnover","history_vol_ratio","updated_at","industry","reason_tag"
"2026-03-09","601778","晶科科技","5.1","100","510","4.72","2049509625","11.39","1.64","-1.44","先跌后涨","15","10.53","1.6","-0.0266","28.2","53.61","37.1","8.83","11.39","1.64","2026-03-09 22:57:02","电力","盘中分歧转强"
"2026-03-09","603070","万控智造","17.53","100","1753","5.1","349520898","5.12","1.33","-2.28","先跌后涨","13","11.18","1.6","-0.0266","26.96","34.43","35.26","10.07","5.12","1.33","2026-03-09 22:57:02","电网设备","盘中分歧转强"
"2026-03-09","002380","科远智慧","40.5","100","4050","5.97","884799352.32","16.23","1.3","-4.11","先跌后涨","14","9.91","1.6","-0.0266","26.52","55.47","48.9","13.21","16.23","1.3","2026-03-09 22:57:02","IT服务Ⅱ","盘中分歧转强"
"2026-03-09","000993","闽东电力","15.25","100","1525","5.46","1017692480.29","15.4","1.26","-2.49","先跌后涨","14","9.2","1.6","-0.0266","25.73","9.4","27.3","12.86","15.4","1.26","2026-03-09 22:57:02","电力","盘中分歧转强"
"2026-03-09","603588","高能环境","14.02","100","1402","4.63","1513072681","7.39","1.26","-2.99","先跌后涨","16","6.97","1.6","-0.0266","25.2","99.43","81.61","10.82","7.39","1.26","2026-03-09 22:57:02","环境治理","盘中分歧转强"
"2026-03-09","002929","润建股份","53.08","100","5308","5.34","1451972351.2","13.52","1.08","-2.76","先跌后涨","13","9.96","1","-0.0266","24.98","32.01","33.33","10.95","13.52","1.08","2026-03-09 22:57:02","通信服务","盘中分歧转强"
"2026-03-09","600590","泰豪科技","16.99","100","1699","5.01","2569635124","18.62","2.23","-2.35","先跌后涨","15","6.87","1.6","-0.0266","24.1","92.63","80.55","11.62","18.62","2.23","2026-03-09 22:57:02","军工电子Ⅱ","盘中分歧转强"
"2026-03-09","603985","恒润股份","18.61","100","1861","6.4","599057105","7.53","2.27","-0.91","上涨初期","13","9.05","1.6","-0.5605","24.04","33.6","22.11","10.58","7.53","2.27","2026-03-09 22:57:02","风电设备","起涨初期放量"
"2026-03-09","002812","恩捷股份","65.65","100","6565","7.18","2670104689.47","5.13","1.66","-2.04","先跌后涨","13","8.14","1.6","-0.0266","23.55","18.61","15.91","10.2","5.13","1.66","2026-03-09 22:57:02","电池","盘中分歧转强"
"2026-03-09","600539","狮头股份","12.41","100","1241","4.55","271757721","9.74","2.31","-0.08","上涨初期","14","7.62","1.6","-0.5605","23.42","16.64","21.91","8.59","9.74","2.31","2026-03-09 22:57:02","互联网电商","起涨初期放量"
